Name	Address	latitude	longitude
Bambu	6058 Mowry Ave, Newark	37.526008	-122.006834
85C Bakery Cafe	35201 Newark Blvd, Newark	37.549132	-122.046975
Q Tea Monster	39181 Cedar Blvd, Newark	37.539427	-122.021081
Fruitlicious	599 San Pablo Ave, Albany	37.884267	-122.29702
Quickly	3080 El Cerrito Plz, El Cerrito	37.899735	-122.299218
Ice Monster	2230 Oak Grove Rd, Walnut Creek	37.928335	-122.015474
Forever Yogurt Bee & Tea	2905 N Main St, Walnut Creek	37.926643	-122.062499
Chalogy	1349 Locust St, Walnut Creek	37.898099	-122.061826
i-Tea	1245 N Broadway, Walnut Creek	37.910941	-122.062646
Sharetea	1850 Mt Diablo St, Concord	37.976151	-122.033613
Bobaloca	1843 Willow Pass Rd, Concord	37.97459	-122.038448
Popping Fresh	1825 Sutter St, Concord	37.973556	-122.037953
i-Tea	2121 Loveridge Rd, Pittsburg	38.011184	-121.868384
Cafe Tapioca	7160 Regional St, Dublin	37.703458	-121.934026
Sharetea	7375 Amador Valley Blvd, Dublin	37.710063	-121.927119
T4	3744 Fallon Rd, Dubin	37.704026	-121.8511
Tutti Frutti	3700 San Pablo Ave #4, Hercules	38.012134	-122.274033
99% Tea House	3623 Thornton Ave, Fremont	37.55554	-122.015497
T4	43430 Mission Blvd, Fremont	37.488073	-121.93163
One Tea	46809 Warm Springs Blvd, Fremont	37.494692	-121.932546
Tea Island	46196 Warm Springs Blvd, Fremont	37.49348	-121.929821
Gong Cha	46827 Warm Springs Blvd, Fremont	37.494692	-121.932546
Sharetea	3948 Washington Blvd, Fremont	37.532683	-121.958888
Sweet Home Cafe	6068 Stevenson Blvd, Fremont	37.542382	-121.972562
Super Cue Cafe	43743 Boscell Rd, Fremont	37.502445	-121.975006
Tata Teahouse	39230 Argonaut Way, Fremont	37.543808	-121.986819
Tea Six	34660 Fremont Blvd, Fremont	37.540471	-121.972403
Boba Queen	34420 Fremont Blvd, Fremont	37.540471	-121.972403
Sno-Crave Teahouse	43773 Boscell Rd, Fremont	37.502445	-121.975006
Tea Papa	46461 Ellsworth St, Fremont	37.525376	-121.918967
Milk & Honey Cafe	34265 Fremont Blvd, Fremont	37.540471	-121.972403
Sweet CoCo	46164 Warm Springs Blvd, Fremont	37.492645	-121.931014
Q Cup	39129 Fremont Blvd, Fremont	37.540471	-121.972403
